seed,model,final_value,improvements,sum_N,resilience_score
234,GR-B,10116,0,0.0000,0.0000
234,GR-LS,10119,1,0.0000,0.0000
234,PSI,19862,3,229.5437,0.0000
235,GR-B,10116,0,0.0000,0.0000
235,GR-LS,10119,1,0.0000,0.0000
235,PSI,19862,3,229.5437,0.0000
236,GR-B,10116,0,0.0000,0.0000
236,GR-LS,10119,1,0.0000,0.0000
236,PSI,19862,3,229.5437,0.0000
237,GR-B,10116,0,0.0000,0.0000
237,GR-LS,10119,1,0.0000,0.0000
237,PSI,19862,3,229.5437,0.0000
238,GR-B,10116,0,0.0000,0.0000
238,GR-LS,10119,1,0.0000,0.0000
238,PSI,19862,3,229.5437,0.0000
239,GR-B,10116,0,0.0000,0.0000
239,GR-LS,10119,1,0.0000,0.0000
239,PSI,19862,3,229.5437,0.0000
240,GR-B,10116,0,0.0000,0.0000
240,GR-LS,10119,1,0.0000,0.0000
240,PSI,19862,3,229.5437,0.0000
241,GR-B,10116,0,0.0000,0.0000
241,GR-LS,10119,1,0.0000,0.0000
241,PSI,19862,3,229.5437,0.0000
242,GR-B,10116,0,0.0000,0.0000
242,GR-LS,10119,1,0.0000,0.0000
242,PSI,19862,3,229.5437,0.0000
243,GR-B,10116,0,0.0000,0.0000
243,GR-LS,10119,1,0.0000,0.0000
243,PSI,19862,3,229.5437,0.0000
244,GR-B,10116,0,0.0000,0.0000
244,GR-LS,10119,1,0.0000,0.0000
244,PSI,19862,3,229.5437,0.0000
245,GR-B,10116,0,0.0000,0.0000
245,GR-LS,10119,1,0.0000,0.0000
245,PSI,19862,3,229.5437,0.0000
246,GR-B,10116,0,0.0000,0.0000
246,GR-LS,10119,1,0.0000,0.0000
246,PSI,19862,3,229.5437,0.0000
247,GR-B,10116,0,0.0000,0.0000
247,GR-LS,10119,1,0.0000,0.0000
247,PSI,19862,3,229.5437,0.0000
248,GR-B,10116,0,0.0000,0.0000
248,GR-LS,10119,1,0.0000,0.0000
248,PSI,19862,3,229.5437,0.0000
249,GR-B,10116,0,0.0000,0.0000
249,GR-LS,10119,1,0.0000,0.0000
249,PSI,19862,3,229.5437,0.0000
250,GR-B,10116,0,0.0000,0.0000
250,GR-LS,10119,1,0.0000,0.0000
250,PSI,19862,3,229.5437,0.0000
251,GR-B,10116,0,0.0000,0.0000
251,GR-LS,10119,1,0.0000,0.0000
251,PSI,19862,3,229.5437,0.0000
252,GR-B,10116,0,0.0000,0.0000
252,GR-LS,10119,1,0.0000,0.0000
252,PSI,19862,3,229.5437,0.0000
253,GR-B,10116,0,0.0000,0.0000
253,GR-LS,10119,1,0.0000,0.0000
253,PSI,19862,3,229.5437,0.0000
254,GR-B,10116,0,0.0000,0.0000
254,GR-LS,10119,1,0.0000,0.0000
254,PSI,19862,3,229.5437,0.0000
255,GR-B,10116,0,0.0000,0.0000
255,GR-LS,10119,1,0.0000,0.0000
255,PSI,19862,3,229.5437,0.0000
256,GR-B,10116,0,0.0000,0.0000
256,GR-LS,10119,1,0.0000,0.0000
256,PSI,19862,3,229.5437,0.0000
257,GR-B,10116,0,0.0000,0.0000
257,GR-LS,10119,1,0.0000,0.0000
257,PSI,19862,3,229.5437,0.0000
258,GR-B,10116,0,0.0000,0.0000
258,GR-LS,10119,1,0.0000,0.0000
258,PSI,19862,3,229.5437,0.0000
259,GR-B,10116,0,0.0000,0.0000
259,GR-LS,10119,1,0.0000,0.0000
259,PSI,19862,3,229.5437,0.0000
260,GR-B,10116,0,0.0000,0.0000
260,GR-LS,10119,1,0.0000,0.0000
260,PSI,19862,3,229.5437,0.0000
261,GR-B,10116,0,0.0000,0.0000
261,GR-LS,10119,1,0.0000,0.0000
